string_protein_id,gene_symbol,match_type
9606.ENSP00000216177,PNPLA5,direct
9606.ENSP00000216180,PNPLA3,direct
9606.ENSP00000216181,MYH9,direct
9606.ENSP00000216185,TXN2,direct
9606.ENSP00000216190,EIF3D,direct
9606.ENSP00000216200,PVALB,direct
9606.ENSP00000216211,UPK3A,direct
9606.ENSP00000216214,FAM118A,direct
9606.ENSP00000216218,ST13,direct
9606.ENSP00000216223,IL2RB,direct
9606.ENSP00000216225,RBX1,direct
9606.ENSP00000216237,L3MBTL2,direct
9606.ENSP00000216241,CHADL,direct
9606.ENSP00000216252,PHF5A,direct
9606.ENSP00000216254,ACO2,direct
9606.ENSP00000216259,PMM1,direct
9606.ENSP00000216264,CERK,direct
9606.ENSP00000216268,ZBED4,direct
9606.ENSP00000216271,HDAC10,direct
9606.ENSP00000216274,RIPK3,direct
9606.ENSP00000216277,PAPOLA,direct
9606.ENSP00000216286,NID2,direct
9606.ENSP00000216294,SNAPC1,direct
9606.ENSP00000216297,SUPT16H,direct
9606.ENSP00000216330,FKBP3,direct
9606.ENSP00000216336,CTSG,direct
9606.ENSP00000216338,GZMH,direct
9606.ENSP00000216341,GZMB,direct
9606.ENSP00000216361,COCH,direct
9606.ENSP00000216366,AP4S1,direct
9606.ENSP00000216367,POLE2,direct
9606.ENSP00000216373,SOS2,direct
9606.ENSP00000216392,PYGL,direct
9606.ENSP00000216410,GNPNAT1,direct
9606.ENSP00000216416,CNIH1,direct
9606.ENSP00000216420,CGRRF1,direct
9606.ENSP00000216442,ATP6V1D,direct
9606.ENSP00000216446,PLEK2,direct
9606.ENSP00000216452,PIGH,direct
9606.ENSP00000216455,PSMA3,direct
9606.ENSP00000216468,TMED8,direct
9606.ENSP00000216471,SAMD15,direct
9606.ENSP00000216479,AHSA1,direct
9606.ENSP00000216484,SPTLC2,direct
9606.ENSP00000216487,RIN3,direct
9606.ENSP00000216489,ALKBH1,direct
9606.ENSP00000216492,CHGA,direct
9606.ENSP00000216500,DHRS7,direct
9606.ENSP00000216513,SIX4,direct
9606.ENSP00000216540,SLC10A1,direct
9606.ENSP00000216554,EIF5,direct
9606.ENSP00000216602,ZFYVE21,direct
9606.ENSP00000216629,BDKRB1,direct
9606.ENSP00000216639,VRK1,direct
9606.ENSP00000216714,APEX1,direct
